,pre,city,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品の調達に係る費用,返礼品の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用,その他費用,広報活動,呼びかけ,見直し,イベントPR,決済,用途選択,分野を選択,具体的な事業を選択,クラウドファンディング,まちづくり・市民活動,スポーツ・文化振興,健康・医療・福祉,環境・衛生,教育・人づくり,子ども・子育て,地域・産業振興,観光・交流・定住促進,安心・安全・防災,災害支援・復興
0,北海道,0,3996,88327258,3400,74969494,405417,254736,48600,963141,0,1172932,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,北海道,札幌市,1219,505546491,1000,388025550,1580261,411966,553150,312404,48600,49140,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1
2,北海道,函館市,10744,340921111,10724,337346111,79926158,18205595,5017680,9053126,2271570,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
3,北海道,小樽市,7644,176349252,7625,133739252,34748000,9281748,100000,1243006,3286949,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,北海道,旭川市,26142,596160916,26103,483088500,118669922,17970132,2946466,2214278,60861195,123960,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,北海道,室蘭市,1375,44023430,999,21284627,5194710,1210094,0,201959,482045,21870,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
6,北海道,釧路市,33729,781641110,33724,781406110,231837650,44991099,0,1871887,108611567,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
7,北海道,帯広市,1977,57382250,1967,54737250,15034500,0,318600,518855,7610419,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
8,北海道,北見市,28276,479175400,28272,478859400,137912598,42567473,2142720,4214124,65772799,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
9,北海道,夕張市,13773,352585011,13769,351380468,48458857,25811822,0,3747029,6027984,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
10,北海道,岩見沢市,30339,631161200,30334,630947000,176696287,119395018,0,6043295,55839149,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0
11,北海道,網走市,51623,1455305400,51609,1428985400,402506444,93218056,14909251,8344642,198277372,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0
12,北海道,留萌市,5563,79020000,10,860000,19285901,7957371,205200,2550,10224144,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0
13,北海道,苫小牧市,18321,279310173,18317,279040173,76661100,36427246,464400,4524072,43391428,1022868,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
14,北海道,稚内市,69321,1060432960,69319,1053542960,314062400,108747571,334060,0,137914767,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
15,北海道,美唄市,6560,76177334,6560,76177334,22350432,8895539,882360,168970,15635548,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
16,北海道,芦別市,1393,211002000,1389,208802000,66192922,0,0,2129635,22975024,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,北海道,江別市,2279,61102480,2266,55927480,17511154,7257895,432000,700239,97200,1078640,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
18,北海道,赤平市,17484,336970880,17484,336970880,96901840,35603121,6318382,4122788,32903728,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
19,北海道,紋別市,112866,2148217823,112866,2148217823,703875980,219855750,13871848,5564059,218501171,27330,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
20,北海道,士別市,1185,37123260,1185,37123260,10500000,3631000,59520,760464,33000,37000,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
21,北海道,名寄市,4357,47570000,4355,47553000,12260351,4693298,0,427139,10102820,1097299,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
22,北海道,三笠市,9283,127280434,0,0,20377078,11178784,194400,2507053,6898953,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
23,北海道,根室市,314041,4957077467,314033,4953790165,1254592586,942651589,625320,45846561,257959775,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,北海道,千歳市,13446,254398434,13446,254398434,71314715,21574824,2230893,3024113,26159837,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
25,北海道,滝川市,43903,812372500,43903,812372500,147682268,38175867,950860,2030865,112459829,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
26,北海道,砂川市,5843,353230075,5824,287842760,78819362,9067655,0,4795867,12364447,236520,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
27,北海道,歌志内市,259,5482000,259,5482000,1267067,327431,78300,0,48600,59400,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
28,北海道,深川市,16729,300244000,16729,300244000,83690621,79605043,14966333,1702022,1555449,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
29,北海道,富良野市,2885,48702000,2885,48702000,16734000,6326640,48600,474819,822023,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
30,北海道,登別市,16132,283644101,16132,283644101,83353374,22022136,2254067,1526232,31056312,42986,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
31,北海道,恵庭市,26231,336099900,26223,333745000,117541602,38205838,1080000,872020,35639091,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
32,北海道,伊達市,2315,35897000,2314,35887000,10569719,4523410,431352,311540,3924396,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
33,北海道,北広島市,2577,51877751,2565,45929251,12096000,3128000,2090000,389000,842000,177000,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
34,北海道,石狩市,3745,63825000,3537,59635000,19848000,13234063,1385400,613884,907200,2437800,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
35,北海道,北斗市,2805,38177000,2805,38177000,12231264,3936829,356400,2434988,2815788,285890,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
36,北海道,当別町,70070,871215405,69925,868524000,242445000,118935000,2692400,4430028,87354000,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,北海道,新篠津村,1146,17113000,1145,17063000,5132000,2316000,255000,172000,2739000,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
38,北海道,松前町,1150,21128241,1041,18920000,7962800,2082000,1800360,198640,4287879,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
39,北海道,福島町,81,1290000,77,1160000,229500,86938,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0
40,北海道,知内町,1996,48872000,1996,48872000,28932000,0,93000,513000,4861000,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,北海道,木古内町,145,4658000,145,4658000,650027,142023,0,43092,48000,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
42,北海道,七飯町,3007,50300200,3007,50300200,21241766,894212,0,370134,1582267,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0
43,北海道,鹿部町,12566,147118000,12566,147118000,62866268,16497154,753590,8068,22221929,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0
44,北海道,森町,498334,5908852000,498334,5908852000,2828410113,818880738,633792,0,936615748,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
45,北海道,八雲町,316739,3681122000,316735,3680542000,1802766481,475922946,599962,322998,473052176,864664,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
46,北海道,長万部町,4101,59958000,4101,59958000,25759000,6052000,0,4405000,109000,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
47,北海道,江差町,1787,38119000,1787,38119000,16495056,2711334,0,0,7859314,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
48,北海道,上ノ国町,2872,49466000,2704,46498040,26281000,6939000,3954000,463000,297000,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
49,北海道,厚沢部町,3539,32007000,3539,32007000,8591058,2059718,0,281101,1762151,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,北海道,乙部町,4771,99240000,4771,99240000,23450000,6454000,0,279000,16374000,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
51,北海道,奥尻町,1987,39968000,1987,39968000,12858243,2845715,1022913,926911,2162746,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
52,北海道,今金町,1989,18719000,1989,18719000,3945862,2962390,230957,172555,2299686,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
53,北海道,せたな町,14276,176515000,14276,176515000,58850592,22181161,60264,0,24875680,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0
54,北海道,島牧村,19,1360000,14,1210000,60000,40000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
55,北海道,寿都町,94575,1142521510,90525,1089691510,387774630,149847516,1201500,11691844,6813630,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0
56,北海道,黒松内町,5760,82181000,5760,82181000,23899000,10584698,836146,735750,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0
57,北海道,蘭越町,349,6300000,347,6270000,1226520,337125,0,441039,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
