自治体名,引取数,殺処分数
北海道,1669,211
青森県,780,522
岩手県,821,303
宮城県,2017,1093
秋田県,494,285
山形県,451,188
福島県,2479,1770
茨城県,2744,366
栃木県,949,297
群馬県,1900,1295
埼玉県,1381,640
千葉県,2528,611
東京都,482,113
神奈川県,757,26
新潟県,1463,385
富山県,317,111
石川県,438,91
福井県,387,13
山梨県,1163,472
長野県,1392,378
岐阜県,1695,892
静岡県,494,121
愛知県,1914,446
三重県,1102,340
滋賀県,875,518
京都府,197,83
大阪府,571,344
兵庫県,1424,979
奈良県,1031,844
和歌山県,1510,1328
鳥取県,387,109
島根県,491,221
岡山県,432,3
広島県,2259,122
山口県,3245,500
徳島県,1341,837
香川県,2683,1585
愛媛県,2363,1987
高知県,567,402
福岡県,1946,1128
佐賀県,666,304
長崎県,1750,1272
熊本県,1447,242
大分県,1560,1235
宮崎県,1205,399
鹿児島県,1662,562
沖縄県,1873,519
