自治体名,引取数,返還数,譲渡数   ,殺処分数
北海道,"1,669",240,"1,193",211
青森県,780,105,149,522
岩手県,821,107,426,303
宮城県,"2,017",192,733,"1,093"
秋田県,494,46,182,285
山形県,451,85,170,188
福島県,"2,479",157,572,"1,770"
茨城県,"2,744",114,"2,215",366
栃木県,949,194,481,297
群馬県,"1,900",264,341,"1,295"
埼玉県,"1,381",408,328,640
千葉県,"2,528",364,"1,589",611
東京都,482,86,267,113
神奈川県,757,161,543,26
新潟県,"1,463",121,961,385
富山県,317,78,131,111
石川県,438,84,263,91
福井県,387,49,330,13
山梨県,"1,163",396,299,472
長野県,"1,392",354,658,378
岐阜県,"1,695",247,560,892
静岡県,494,126,247,121
愛知県,"1,914",508,"1,024",446
三重県,"1,102",308,454,340
滋賀県,875,90,267,518
京都府,197,37,84,83
大阪府,571,31,187,344
兵庫県,"1,424",45,410,979
奈良県,"1,031",40,134,844
和歌山県,"1,510",68,141,"1,328"
鳥取県,387,59,229,109
島根県,491,98,172,221
岡山県,432,70,366,3
広島県,"2,259",43,"2,225",122
山口県,"3,245",82,"2,691",500
徳島県,"1,341",189,313,837
香川県,"2,683",101,949,"1,585"
愛媛県,"2,363",29,339,"1,987"
高知県,567,33,162,402
福岡県,"1,946",389,425,"1,128"
佐賀県,666,136,216,304
長崎県,"1,750",73,403,"1,272"
熊本県,"1,447",326,881,242
大分県,"1,560",108,334,"1,235"
宮崎県,"1,205",327,487,399
鹿児島県,"1,662",352,747,562
沖縄県,"1,873",302,"1,083",519
