code,pre,city,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品の調達に係る費用,返礼品の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用,その他費用,広報活動,呼びかけ,見直し,イベントPR,決済,用途選択,分野を選択,具体的な事業を選択,クラウドファンディング,まちづくり・市民活動,スポーツ・文化振興,健康・医療・福祉,環境・衛生,教育・人づくり,子ども・子育て,地域・産業振興,観光・交流・定住促進,安心・安全・防災,災害支援・復興
010006,北海道,,"3,996 ","88,327,258 ","3,400 ","74,969,494 ","405,417 ","254,736 ","48,600 ","963,141 ",,"1,172,932 ",,○,○,,○,①,,○,○,,,,,,,,,,
011002,北海道,札幌市,"1,219 ","505,546,491 ","1,000 ","388,025,550 ","1,580,261 ","411,966 ","553,150 ","312,404 ","48,600 ","49,140 ",○,○,○,○,○,①,○,,,○,○,○,○,○,○,,○,,○
012025,北海道,函館市,"10,744 ","340,921,111 ","10,724 ","337,346,111 ","79,926,158 ","18,205,595 ","5,017,680 ","9,053,126 ","2,271,570 ",,○,○,○,○,○,①,○,,,○,,○,,○,○,○,○,○,
012033,北海道,小樽市,"7,644 ","176,349,252 ","7,625 ","133,739,252 ","34,748,000 ","9,281,748 ","100,000 ","1,243,006 ","3,286,949 ",,○,○,○,,,①,,○,,,,,,,,,,,
012041,北海道,旭川市,"26,142 ","596,160,916 ","26,103 ","483,088,500 ","118,669,922 ","17,970,132 ","2,946,466 ","2,214,278 ","60,861,195 ","123,960 ",○,○,○,○,,①,,○,,,,,,,,,,,
012050,北海道,室蘭市,"1,375 ","44,023,430 ",999 ,"21,284,627 ","5,194,710 ","1,210,094 ",,"201,959 ","482,045 ","21,870 ",○,○,○,○,○,①,○,○,○,○,○,○,,,○,,○,○,
012068,北海道,釧路市,"33,729 ","781,641,110 ","33,724 ","781,406,110 ","231,837,650 ","44,991,099 ",,"1,871,887 ","108,611,567 ",,,○,,,○,①,○,○,○,○,○,○,,○,○,○,,,
012076,北海道,帯広市,"1,977 ","57,382,250 ","1,967 ","54,737,250 ","15,034,500 ",,"318,600 ","518,855 ","7,610,419 ",,○,○,,○,○,①,○,,,,○,○,○,○,○,○,○,,
012084,北海道,北見市,"28,276 ","479,175,400 ","28,272 ","478,859,400 ","137,912,598 ","42,567,473 ","2,142,720 ","4,214,124 ","65,772,799 ",,○,○,,,○,①,○,,,○,○,○,,,,,,,
012092,北海道,夕張市,"13,773 ","352,585,011 ","13,769 ","351,380,468 ","48,458,857 ","25,811,822 ",,"3,747,029 ","6,027,984 ",,○,○,○,○,○,①,○,,○,○,○,○,,○,○,○,,,
012106,北海道,岩見沢市,"30,339 ","631,161,200 ","30,334 ","630,947,000 ","176,696,287 ","119,395,018 ",,"6,043,295 ","55,839,149 ",,○,,,,,①,○,,,○,○,○,,○,○,○,,○,
012114,北海道,網走市,"51,623 ","1,455,305,400 ","51,609 ","1,428,985,400 ","402,506,444 ","93,218,056 ","14,909,251 ","8,344,642 ","198,277,372 ",,○,○,○,○,,①,○,,,○,○,,,○,○,○,,○,
012122,北海道,留萌市,"5,563 ","79,020,000 ",10 ,"860,000 ","19,285,901 ","7,957,371 ","205,200 ","2,550 ","10,224,144 ",,○,○,,○,,①,○,,,○,,○,○,○,○,○,,,
012131,北海道,苫小牧市,"18,321 ","279,310,173 ","18,317 ","279,040,173 ","76,661,100 ","36,427,246 ","464,400 ","4,524,072 ","43,391,428 ","1,022,868 ",○,○,,,○,①,○,,,,,,,○,○,○,○,,
012149,北海道,稚内市,"69,321 ","1,060,432,960 ","69,319 ","1,053,542,960 ","314,062,400 ","108,747,571 ","334,060 ",,"137,914,767 ",,○,,○,○,○,①,○,,,,○,○,○,○,○,○,,,
012157,北海道,美唄市,"6,560","76,177,334 ","6,560 ","76,177,334 ","22,350,432 ","8,895,539 ","882,360 ","168,970 ","15,635,548 ",,○,○,○,○,,①,○,,,○,○,○,○,○,○,○,○,○,○
012165,北海道,芦別市,"1,393 ","211,002,000 ","1,389 ","208,802,000 ","66,192,922 ",,,"2,129,635 ","22,975,024 ",,○,○,,○,,②,,,,,,,,,,,,,
012173,北海道,江別市,"2,279 ","61,102,480 ","2,266 ","55,927,480 ","17,511,154 ","7,257,895 ","432,000 ","700,239 ","97,200 ","1,078,640 ",○,,○,○,○,①,○,,,○,○,○,○,○,○,○,○,○,○
012181,北海道,赤平市,"17,484 ","336,970,880 ","17,484 ","336,970,880 ","96,901,840 ","35,603,121 ","6,318,382 ","4,122,788 ","32,903,728 ",,○,○,○,○,○,①,○,,,○,,○,,○,○,○,○,,
012190,北海道,紋別市,"112,866 ","2,148,217,823 ","112,866 ","2,148,217,823 ","703,875,980 ","219,855,750 ","13,871,848 ","5,564,059 ","218,501,171 ","27,330 ",○,○,○,○,○,①,○,,,,,○,○,○,○,○,○,,
012203,北海道,士別市,"1,185 ","37,123,260 ","1,185 ","37,123,260 ","10,500,000 ","3,631,000 ","59,520 ","760,464 ","33,000 ","37,000 ",,○,,,,①,○,,,○,○,○,○,○,○,○,○,,
012211,北海道,名寄市,"4,357 ","47,570,000 ","4,355 ","47,553,000 ","12,260,351 ","4,693,298 ",,"427,139 ","10,102,820 ","1,097,299 ",○,○,,○,○,①,○,,,○,○,○,,,○,○,,,
012220,北海道,三笠市,"9,283 ","127,280,434 ",,,"20,377,078 ","11,178,784 ","194,400 ","2,507,053 ","6,898,953 ",,○,○,,○,○,①,○,○,,○,○,○,○,○,○,○,○,○,
